,"Agriculture, forestry, and fisheries",Ceramics and stone products manufacturing,Chemical industry (including petroleum and coal products),Construction industry,Food and beverage manufacturing,"Iron, non-ferrous, and metal products manufacturing",Machinery manufacturing,Mining and others,Other manufacturing,"Plastic, rubber, and leather products manufacturing",Printing and related industries,"Pulp, paper, and paper products manufacturing",Textile industry,Wood products and furniture manufacturing
France,2015920000.0,9356671000.0,19662245000.0,5013034000.0,97106585000.0,114882041000.0,62181324000.0,366547000.0,177025987000.0,26795760000.0,4907018000.0,12832385000.0,1521725000.0,9768952000.0
Netherlands,498581000.0,2565730000.0,2009922000.0,612211000.0,19701652000.0,21893148000.0,15530245000.0,178372000.0,45048831000.0,5228766000.0,1324107000.0,2165219000.0,237909000.0,1793179000.0
Germany,1969262000.0,16584092000.0,25765576000.0,1593699000.0,129536236000.0,247463754000.0,178884204000.0,1959731000.0,333590800000.0,54605901000.0,8009663000.0,17836465000.0,3016911000.0,13810958000.0
Italy,1381125000.0,30266035000.0,23559768000.0,5147618000.0,92854627000.0,258252045000.0,89703115000.0,1823881000.0,233180203000.0,46223118000.0,5825441000.0,24118346000.0,13141934000.0,19804015000.0
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,245947000.0,770080000.0,367087000.0,501203000.0,8571203000.0,5303777000.0,6129891000.0,27759000.0,44549209000.0,839197000.0,488037000.0,290400000.0,143435000.0,977345000.0
Denmark,1532069550.0,2423434756.0,2163964488.0,780017983.0,14645789232.0,18554347125.0,8983060842.0,132820197.0,34210397115.0,2835744404.0,43964890.0,1225105960.0,429642727.0,2247624177.0
Greece,99716000.0,1150008000.0,1624383000.0,34552000.0,4034476000.0,4582522000.0,312035000.0,27249000.0,10918524000.0,825763000.0,242939000.0,1066998000.0,171720000.0,397620000.0
Portugal,886962000.0,4570237000.0,2041742000.0,163673000.0,9386962000.0,12367785000.0,9738740000.0,28592000.0,20006935000.0,3870705000.0,636513000.0,2712118000.0,1524349000.0,2055192000.0
Spain,5433667000.0,14989305000.0,16860069000.0,1629470000.0,109158025000.0,95004058000.0,44824069000.0,414369000.0,131243267000.0,26249407000.0,2176461000.0,12527014000.0,2352669000.0,10243490000.0
Belgium,471484000.0,4782880000.0,4505346000.0,722592000.0,18101100000.0,20473867000.0,4389233000.0,202228000.0,57699909000.0,7008346000.0,876232000.0,2690670000.0,414332000.0,2031010000.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,1537547273.0,0.0,206544773.0,0.0,547806142.0,1931332482.0,0.0,0.0,209545182.0,0.0,0.0,0.0,0.0,0.0
Norway,1930342940.0,877060604.0,811205447.0,487170017.0,11300406571.0,3850899620.0,1464555003.0,664808137.0,15351070743.0,630335849.0,58889959.0,285616466.0,0.0,247716373.0
Sweden,66318169.0,1122357477.0,1650682737.0,1746314946.0,5246315732.0,14455344373.0,13310761584.0,174895024.0,38748398699.0,2558085516.0,112229849.0,4931766821.0,74321968.0,2596417830.0
Finland,289128000.0,1679359000.0,7631925000.0,1140302000.0,7669781000.0,24869309000.0,9569227000.0,21917000.0,24352550000.0,2298910000.0,474850000.0,7223018000.0,187645000.0,4972148000.0
Austria,200131000.0,2083288000.0,1380615000.0,766375000.0,17737265000.0,28997550000.0,15407516000.0,23405000.0,23089171000.0,5485827000.0,1025826000.0,2173426000.0,903385000.0,4244196000.0
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÃ¼rkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,175063000.0,494361000.0,361089000.0,717448000.0,1683033000.0,3028498000.0,1156591000.0,58245000.0,4104403000.0,487890000.0,91536000.0,199955000.0,86210000.0,1841001000.0
Latvia,48994000.0,62753000.0,62829000.0,65678000.0,947453000.0,385695000.0,123812000.0,0.0,580007000.0,60720000.0,152613000.0,92855000.0,0.0,1476740000.0
Lithuania,423989000.0,775372000.0,497541000.0,207626000.0,3843176000.0,4594756000.0,1424828000.0,7839000.0,7754142000.0,1403740000.0,165593000.0,697863000.0,253081000.0,3207882000.0
Poland,981862837.0,8156052839.0,6133067150.0,1210901586.0,41533898498.0,39902542936.0,21702598412.0,119970937.0,69606102599.0,16726650815.0,1518876266.0,5686751208.0,642016514.0,8880399826.0
Czechia,72775412.0,3158506454.0,1879953760.0,526841527.0,11580299123.0,31916119028.0,29651599401.0,55817114.0,48352477171.0,8873396808.0,716020413.0,3091540366.0,992084942.0,2235590566.0
Slovakia,11631000.0,916314000.0,71025000.0,174192000.0,2413372000.0,17717681000.0,7086700000.0,8511000.0,15980169000.0,2373303000.0,202062000.0,439085000.0,32168000.0,628450000.0
Hungary,56619596.0,1165915179.0,1562678604.0,284228485.0,9910912941.0,25491348435.0,13813211596.0,25808461.0,38500650630.0,3439724770.0,493410579.0,623092318.0,93959647.0,642029623.0
Romania,82216224.0,2138871773.0,1046578525.0,182339540.0,11221058078.0,10437611133.0,5144262230.0,495261487.0,23586359804.0,2711577822.0,548339499.0,787443143.0,534334608.0,3274234946.0
Bulgaria,46849371.0,884645670.0,1014538809.0,165556805.0,3778010019.0,3998684934.0,1164767354.0,0.0,6040785868.0,926614683.0,331206667.0,583526433.0,117068719.0,445715312.0
Albania,28586278.0,218248034.0,10513447.0,9782004.0,390275515.0,347546959.0,3442390.0,0.0,342819732.0,21419725.0,9729476.0,70120644.0,15078006.0,39219007.0
Slovenia,0.0,146870000.0,96058000.0,109708000.0,851148000.0,2738052000.0,1068668000.0,13456000.0,1905128000.0,599702000.0,231295000.0,312289000.0,4413000.0,428951000.0
Croatia,96131000.0,888231000.0,444057000.0,110063000.0,3803070000.0,3188661000.0,983394000.0,103397000.0,6091874000.0,1100518000.0,824016000.0,669644000.0,186045000.0,1017612000.0
Bosnia and Herzegovina,8430692.0,392998880.0,174202255.0,56107125.0,1039465088.0,2388348688.0,312085914.0,13410164.0,3269614952.0,553465792.0,54261364.0,223943800.0,28625698.0,692980988.0
North Macedonia,0.0,16636447.0,36456114.0,0.0,573917531.0,233479068.0,11874130.0,0.0,1213578067.0,52575169.0,23872532.0,48602650.0,2307829.0,91068296.0
Montenegro,302000.0,4724000.0,347000.0,9244000.0,227477000.0,124247000.0,0.0,0.0,211811000.0,4571000.0,2965000.0,4571000.0,0.0,44705000.0
Serbia,14740358.0,852133733.0,809925156.0,44969634.0,3262876132.0,3988114755.0,1388542964.0,0.0,8067515077.0,1045489685.0,161917685.0,930032042.0,47192968.0,455617910.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
