Location,Rate,Vehicles,Population,Year,Ref
China,310,440000000,1419321278,2024,[57]
United States,850,283400986,333287557,2022,[11][12]
India,158,210023289,1328024498,2015,[30]
Brazil,462,93867016,203218114,2016,[30]
Japan,670,82876295,123753041,2024,[24]
Mexico,449,58199293,129739759,2023,[43]
Russia,364,53000000,145440501,2023,[50]
Germany,627,52714433,84086227,2022,[19]
Italy,753,44888074,59619115,2022,[19]
France,671,44444965,66277409,2022,[19]
Thailand,625,44300000,71668011,2024,[26]
United Kingdom,603,41700000,69138192,2024,[27]
Spain,642,30724166,47828383,2022,[19]
Turkey,354,30261176,85372377,2023,[51][52]
Pakistan,121,30000000,247504496,2023,[79]
Canada,677,26302526,38831259,2022,[23]
South Korea,501,25949201,51748739,2023,[39]
Poland,671,25757062,38385739,2022,[19]
Malaysia,678,23822322,35126298,2023,[22]
Taiwan,959,22597694,23558333,2021,[9]
Argentina,493,21633587,43900314,2016,[30]
Australia,776,20142942,25956418,2021,[17]
Iran,182,15963000,87723443,2020,[42]
Philippines,122,13889136,113964339,2022,[78]
Nigeria,59,13500000,218529287,2021,[85]
Colombia,280,13477996,48131078,2017,[30]
South Africa,208,13304703,64007187,2024,[65]
Ukraine,237,10500000,44298640,2021,[64]
Netherlands,562,10062194,17904421,2022,[19]
Egypt,87,9950000,114535772,2023,[83]
Syria,466,9810000,21049429,2020,[42]
Romania,477,9148003,19166773,2022,[19]
Sri Lanka,366,8352213,22834965,2022,[49]
Algeria,176,7731664,44042091,2020,[68]
Portugal,691,7198871,10417073,2022,[19]
Myanmar,132,7138410,54133798,2022,[8]
Czech Republic,664,7082522,10673213,2022,[19]
Belgium,599,6977664,11641820,2022,[19]
Saudi Arabia,224,6895799,30717809,2016,[30]
Indonesia,23,6537000,281190067,2023,[8]
Chile,312,6100000,19553037,2022,[56]
Bangladesh,34,5982765,173562364,2024,[90]
Dominican Republic,513,5810888,11331266,2023,[38]
Greece,555,5777241,10412480,2022,[19]
Sweden,542,5682251,10487338,2022,[19]
Peru,182,5604789,30866494,2016,[30]
Switzerland,603,5301789,8792182,2022,[19]
Austria,569,5185006,9104772,2023,[32][33]
Kazakhstan,250,5085400,20330104,2023,[62]
New Zealand,934,4794156,5131735,2022,[10]
Hungary,492,4763466,9684306,2022,[19]
Iraq,112,4715000,42116605,2020,[42]
Belarus,470,4280031,9115680,2023,[41]
Venezuela,149,4235000,28444078,2020,[42]
Finland,752,4221852,5617311,2024,[20]
Vietnam,43,4180480,98079191,2020,[8]
Morocco,113,4120000,36584208,2020,[42]
Israel,439,4000000,9103151,2022,[45]
Norway,629,3469692,5519167,2023,[19]
United Arab Emirates,376,3391125,9030873,2016,[30]
Slovakia,603,3286249,5450626,2019,[28]
Libya,463,3260000,7045399,2020,[42]
Guatemala,200,3250194,16268760,2016,[30]
Denmark,542,3222575,5948137,2023,[34]
Laos,412,3116550,7559008,2022,[8]
Uzbekistan,87,3051734,34938956,2022,[82]
Bulgaria,466,3006215,6447710,2023,[32][33]
Kenya,62,2979910,48139687,2016,[30]
Ireland,536,2737924,5110016,2022,[19]
Costa Rica,514,2600000,5059988,2021,[37]
Ecuador,143,2535853,17682455,2021,[75]
Kuwait,521,2522933,4838782,2023,[36]
Uruguay,738,2507116,3398968,2020,[21]
Serbia,360,2389105,6641197,2023,[32][33]
Afghanistan,55,2342543,42647492,2024,[86]
Nepal,84,2339169,27823629,2015,[30]
Tanzania,40,2163623,53824013,2016,[30]
Burkina Faso,112,2106292,18777487,2015,[30]
Croatia,530,2070123,3907027,2022,[19]
Ghana,70,2066943,29356742,2016,[30]
Tunisia,175,2015601,11528674,2016,[30]
Jordan,173,2000000,11552876,2024,[69]
Lebanon,295,1866407,6323060,2016,[30]
Lithuania,643,1811748,2816920,2022,[19]
Azerbaijan,169,1738940,10318207,2023,[72]
Bolivia,153,1711005,11180020,2016,[30]
Oman,323,1704873,5281538,2024,[55]
Honduras,180,1694504,9412380,2016,[30]
Georgia,441,1680400,3807492,2023,[44]
Uganda,41,1594962,38799152,2016,[30]
Zimbabwe,91,1467955,16069056,2022,[81]
Qatar,512,1330487,2599372,2016,[30]
Kyrgyzstan,200,1300000,6494035,2019,[67]
Panama,320,1288573,4029087,2016,[30]
Sudan,30,1252740,41259892,2016,[30]
Slovenia,581,1228051,2115228,2022,[19]
Ethiopia,10,1200110,118917672,2020,[93]
Mongolia,347,1192520,3431933,2023,[54]
Chad,74,1124000,15114655,2016,[30]
Liberia,248,1085075,4373044,2012,[30]
El Salvador,163,1008080,6200800,2016,[30]
Estonia,740,998852,1350092,2022,[19]
Singapore,172,996732,5789090,2023,[70]
Moldova,323,982349,3039985,2020,[19]
Bosnia and Herzegovina,282,978229,3473003,2016,[30]
Hong Kong (China),124,925171,7465915,2022,[77]
Ivory Coast,35,905537,25989405,2016,[30]
Armenia,303,900692,2973841,2024,[59]
Latvia,463,871153,1881063,2022,[19]
Albania,309,867765,2811655,2023,[58]
Zambia,45,853909,19059395,2020,[87]
Trinidad and Tobago,582,831803,1429189,2015,[30][31]
Cameroon,32,758145,23454162,2016,[30]
Bahrain,476,747350,1569666,2023,[40]
Cyprus,544,724925,1331370,2022,[19]
Mozambique,26,698864,27337105,2016,[30]
Botswana,292,653274,2234776,2016,[30]
Cuba,56,633369,11265612,2016,[30]
Jamaica,203,575041,2839144,2022,[66]
Luxembourg,818,550580,673036,2024,[14]
North Macedonia,263,483482,1837114,2022,[32][33]
Brunei,1043,475000,455370,2022,[8]
Benin,40,469761,11697842,2016,[30]
Senegal,32,468051,14593331,2015,[30]
Kosovo,271,460105,1700031,2023,[61]
Tajikistan,50,439972,8865631,2016,[30]
Malta,823,438567,532956,2023,[13]
Niger,21,436420,20685754,2016,[30]
Namibia,148,418292,2506853,2017,[30]
Cambodia,21,370000,17423881,2023,[8]
Mali,19,344345,18593022,2015,[30]
Iceland,779,306563,393396,2024,[16]
Sierra Leone,41,300000,7379299,2017,[88]
Palestine,59,268365,4521565,2015,[30]
Rwanda,20,264524,13065837,2020,[92]
Bahamas,650,260000,397539,2022,[25]
Guinea,22,259731,12073030,2016,[30]
Macao (China),353,251867,713912,2023,[53]
Montenegro,393,242599,616695,2023,[32][33]
Suriname,394,241391,612317,2020,[48]
Madagascar,9.3,236979,25426703,2015,[30]
Gambia,78,200000,2576010,2021,[84]
Maldives,250,131000,524107,2022,[63]
Fiji,142,130000,914963,2020,[76]
Guyana,171,128000,749257,2010,[71]
Jersey (UK),1234,127911,103675,2023,[5]
Bhutan,162,126501,780915,2022,[73]
Guam (US),775,125455,161808,2019,[18]
Barbados,425,120000,282318,2022,[46]
Burundi,9.7,111236,11506762,2017,[30]
Papua New Guinea,11,100993,8961718,2016,[30]
Andorra,1214,98183,80856,2023,[6]
Guernsey (UK),1389,88532,63726,2022,[3]
Eritrea,23,72405,3124698,2016,[30]
Isle of Man (UK),782,65830,84166,2023,[15]
Cape Verde,127,64955,512554,2016,[30]
Togo,8.2,64118,7858289,2016,[30]
Guinea-Bissau,34,62239,1831894,2016,[30]
Somalia,4.5,59457,13339491,2014,[30]
Belize,189,56094,296100,2007,[30]
Antigua and Barbuda,598,54891,91846,2020,[29]
San Marino,1606,53940,33581,2024,[2]
Gibraltar (UK),1293,48641,37610,2022,[4]
Liechtenstein,1068,42579,39870,2024,[7]
Djibouti,35,40000,1137096,2022,[89]
Central African Republic,8.1,37475,4623182,2014,[30]
Saint Lucia,203,35681,175646,2016,[30]
Comoros,47,34898,741741,2016,[30]
São Tomé and Príncipe,165,34050,206971,2017,[30]
North Korea,1.1,30000,26498823,2024,[94]
Faroe Islands (Denmark),522,28562,54714,2023,[34]
Grenada,237,27266,115130,2016,[30]
Saint Kitts and Nevis,543,25374,46758,2023,[35]
Samoa,124,25235,203499,2016,[30]
Seychelles,210,23076,109821,2016,[30]
Dominica,271,18311,67573,2020,[60]
Tonga,158,16717,105567,2018,[74]
Micronesia,99,11014,110917,2020,[80]
Solomon Islands,21,11000,532968,2010,[91]
Greenland (Denmark),126,7054,55923,2023,[34]
Nauru,424,5000,11801,2022,[47]
Kiribati,31,3706,120275,2017,[30]